Number_of_topics,beta,max_bleu,max_jaccard,max_cos,max_fscore

20,[0.52416074 0.52416074 0.52416074 ... 0.52416074 0.52416074 0.52416074],0.1243119589479522,0.06775603699134701,0.45153144,0.008372776469599958
59,[0.5082404 0.5082404 0.5082404 ... 0.5082404 0.5082404 0.5082404],0.023766601987734087,0.012307569016205033,0.4672827,0.001745451543514671
57,[0.724679 0.724679 0.724679 ... 0.724679 0.724679 0.724679],0.046900199945001525,0.024423600435284385,0.4027865,0.005053643329959119
49,[0.8883847 0.8883847 0.8883847 ... 0.8883847 0.8883847 0.8883847],0.04134470553440529,0.021364418354099694,0.43237323,0.0017259897360703813
71,[0.02230163 0.02230163 0.02230163 ... 0.02230163 0.02230163 0.02230163],0.05911579777207123,0.03091442544155768,nan,nan
20,[0.52416074 0.52416074 0.52416074 ... 0.52416074 0.52416074 0.52416074],0.1243119589479522,0.06775603699134701,0.4515314,0.004002653863637845
59,[0.5082404 0.5082404 0.5082404 ... 0.5082404 0.5082404 0.5082404],0.023766601987734087,0.012307569016205033,0.4672827,0.0012642089093701998
57,[0.724679 0.724679 0.724679 ... 0.724679 0.724679 0.724679],0.046900199945001525,0.024423600435284385,0.4027865,0.0032973820473820477
49,[0.8883847 0.8883847 0.8883847 ... 0.8883847 0.8883847 0.8883847],0.04134470553440529,0.021364418354099694,0.4323732,0.0018869722174957313
71,[0.02230163 0.02230163 0.02230163 ... 0.02230163 0.02230163 0.02230163],0.05911579777207123,0.03091442544155768,nan,nan
51,[0.05007043 0.05007043 0.05007043 ... 0.05007043 0.05007043 0.05007043],0.05238346203224074,0.02742818696798062,0.35876355,0.004273504273504274
88,[0.12271807 0.12271807 0.12271807 ... 0.12271807 0.12271807 0.12271807],0.025728893178908998,0.013262298712434385,0.4126157,0.0031355515194187965
72,[0.86999476 0.86999476 0.86999476 ... 0.86999476 0.86999476 0.86999476],0.03351251593988679,0.017370092969415447,nan,nan
42,[0.34867793 0.34867793 0.34867793 ... 0.34867793 0.34867793 0.34867793],0.04827800933223454,0.025081635278010356,0.38895413,0.0023148148148148147
72,[0.48241556 0.48241556 0.48241556 ... 0.48241556 0.48241556 0.48241556],0.025124133062253567,0.012950832362657278,nan,nan
65,[0.05183733 0.05183733 0.05183733 ... 0.05183733 0.05183733 0.05183733],0.038538510776880905,0.019955016885359278,0.40070784,0.0020048007548007546
75,[0.50993836 0.50993836 0.50993836 ... 0.50993836 0.50993836 0.50993836],0.033381943938323874,0.017274839019789778,0.38920248,0.0008527887494580388
70,[0.40283528 0.40283528 0.40283528 ... 0.40283528 0.40283528 0.40283528],0.032341637820315974,0.016673739848220376,0.41123825,0.0022118152843959293
45,[0.5607668 0.5607668 0.5607668 ... 0.5607668 0.5607668 0.5607668],0.041460111774626086,0.021462677145982233,0.38674968,0.0035202252944188423
21,[0.01599575 0.01599575 0.01599575 ... 0.01599575 0.01599575 0.01599575],0.07154645606981504,0.03768189793716147,0.42932305,0.0044514943882759325
81,[0.4618827 0.4618827 0.4618827 ... 0.4618827 0.4618827 0.4618827],0.030048275899433728,0.015411007294898655,0.39722434,nan
16,[0.57216555 0.57216555 0.57216555 ... 0.57216555 0.57216555 0.57216555],0.1381460668984021,0.07551565940067477,0.5522682,0.004875420704536344
74,[0.54881144 0.54881144 0.54881144 ... 0.54881144 0.54881144 0.54881144],0.023016524810533706,0.011886551057824248,0.36859503,0.0006644518272425248
27,[0.16873167 0.16873167 0.16873167 ... 0.16873167 0.16873167 0.16873167],0.11555745159807436,0.06232072608474214,0.49530005,0.003710069319720903
76,[0.883486 0.883486 0.883486 ... 0.883486 0.883486 0.883486],0.023635570968772984,0.012186995180197547,nan,nan
